epochs: 4, err_dist: x:3.45, y:0.63, bias corrected: x:3.04, y:0.62
tolerance: 1, acc_box: x:20.78, y:84.09, x_corr:37.34, y_corr:81.49
tolerance: 2, acc_box: x:40.26, y:100.00, x_corr:47.73, y_corr:100.00
tolerance: 3, acc_box: x:46.75, y:100.00, x_corr:50.97, y_corr:100.00
tolerance: 4, acc_box: x:55.84, y:100.00, x_corr:57.79, y_corr:100.00
tolerance: 5, acc_box: x:65.26, y:100.00, x_corr:72.40, y_corr:100.00
tolerance: 6, acc_box: x:82.14, y:100.00, x_corr:84.09, y_corr:100.00



epochs: 8, err_dist: x:3.38, y:0.65, bias corrected: x:2.84, y:0.58
tolerance: 1, acc_box: x:14.61, y:88.31, x_corr:44.16, y_corr:85.71
tolerance: 2, acc_box: x:41.56, y:97.08, x_corr:48.38, y_corr:97.08
tolerance: 3, acc_box: x:49.68, y:98.05, x_corr:51.62, y_corr:99.03
tolerance: 4, acc_box: x:57.79, y:99.68, x_corr:59.09, y_corr:99.68
tolerance: 5, acc_box: x:68.18, y:100.00, x_corr:74.68, y_corr:100.00
tolerance: 6, acc_box: x:85.39, y:100.00, x_corr:88.31, y_corr:100.00



epochs: 12, err_dist: x:3.29, y:0.48, bias corrected: x:2.66, y:0.49
tolerance: 1, acc_box: x:11.04, y:94.48, x_corr:40.91, y_corr:95.45
tolerance: 2, acc_box: x:35.06, y:100.00, x_corr:50.65, y_corr:100.00
tolerance: 3, acc_box: x:57.14, y:100.00, x_corr:53.25, y_corr:100.00
tolerance: 4, acc_box: x:62.01, y:100.00, x_corr:63.96, y_corr:100.00
tolerance: 5, acc_box: x:72.73, y:100.00, x_corr:81.82, y_corr:100.00
tolerance: 6, acc_box: x:86.69, y:100.00, x_corr:91.23, y_corr:100.00



epochs: 16, err_dist: x:3.28, y:0.56, bias corrected: x:3.04, y:0.58
tolerance: 1, acc_box: x:27.92, y:93.83, x_corr:35.71, y_corr:93.83
tolerance: 2, acc_box: x:41.23, y:94.48, x_corr:46.43, y_corr:94.48
tolerance: 3, acc_box: x:49.35, y:96.10, x_corr:47.08, y_corr:95.78
tolerance: 4, acc_box: x:57.47, y:97.73, x_corr:55.19, y_corr:97.73
tolerance: 5, acc_box: x:63.96, y:98.38, x_corr:76.95, y_corr:98.38
tolerance: 6, acc_box: x:84.42, y:99.68, x_corr:88.64, y_corr:99.68



epochs: 20, err_dist: x:3.29, y:0.61, bias corrected: x:3.04, y:0.50
tolerance: 1, acc_box: x:27.92, y:90.58, x_corr:37.34, y_corr:92.86
tolerance: 2, acc_box: x:42.53, y:97.40, x_corr:46.75, y_corr:98.38
tolerance: 3, acc_box: x:47.40, y:99.03, x_corr:49.03, y_corr:99.03
tolerance: 4, acc_box: x:53.25, y:99.03, x_corr:57.14, y_corr:99.03
tolerance: 5, acc_box: x:66.88, y:99.03, x_corr:71.75, y_corr:99.03
tolerance: 6, acc_box: x:85.39, y:99.03, x_corr:85.39, y_corr:99.03



epochs: 24, err_dist: x:2.96, y:1.03, bias corrected: x:2.65, y:1.04
tolerance: 1, acc_box: x:26.62, y:78.25, x_corr:40.58, y_corr:68.18
tolerance: 2, acc_box: x:45.78, y:91.23, x_corr:49.03, y_corr:90.58
tolerance: 3, acc_box: x:57.47, y:91.88, x_corr:55.84, y_corr:93.18
tolerance: 4, acc_box: x:64.61, y:93.83, x_corr:68.18, y_corr:95.45
tolerance: 5, acc_box: x:75.00, y:95.78, x_corr:81.49, y_corr:96.10
tolerance: 6, acc_box: x:88.64, y:96.10, x_corr:90.26, y_corr:97.08



epochs: 28, err_dist: x:3.24, y:0.73, bias corrected: x:2.86, y:0.44
tolerance: 1, acc_box: x:21.75, y:86.04, x_corr:34.09, y_corr:94.16
tolerance: 2, acc_box: x:37.66, y:96.75, x_corr:45.78, y_corr:98.38
tolerance: 3, acc_box: x:46.75, y:99.35, x_corr:47.08, y_corr:99.35
tolerance: 4, acc_box: x:53.25, y:99.35, x_corr:62.66, y_corr:99.35
tolerance: 5, acc_box: x:72.40, y:99.35, x_corr:81.82, y_corr:99.35
tolerance: 6, acc_box: x:93.51, y:99.35, x_corr:91.88, y_corr:99.35



epochs: 32, err_dist: x:3.09, y:0.69, bias corrected: x:2.77, y:0.69
tolerance: 1, acc_box: x:20.45, y:88.31, x_corr:30.52, y_corr:87.66
tolerance: 2, acc_box: x:37.99, y:96.75, x_corr:45.13, y_corr:96.75
tolerance: 3, acc_box: x:52.60, y:98.05, x_corr:50.00, y_corr:97.08
tolerance: 4, acc_box: x:59.42, y:98.05, x_corr:66.23, y_corr:98.05
tolerance: 5, acc_box: x:76.95, y:98.05, x_corr:84.74, y_corr:98.38
tolerance: 6, acc_box: x:93.51, y:98.70, x_corr:95.45, y_corr:98.70



epochs: 36, err_dist: x:2.99, y:0.94, bias corrected: x:2.87, y:0.68
tolerance: 1, acc_box: x:32.47, y:68.51, x_corr:30.84, y_corr:76.62
tolerance: 2, acc_box: x:40.91, y:95.13, x_corr:45.13, y_corr:98.05
tolerance: 3, acc_box: x:47.08, y:98.70, x_corr:52.27, y_corr:98.38
tolerance: 4, acc_box: x:59.74, y:99.03, x_corr:63.31, y_corr:99.03
tolerance: 5, acc_box: x:77.92, y:99.03, x_corr:78.57, y_corr:99.68
tolerance: 6, acc_box: x:91.23, y:99.68, x_corr:91.88, y_corr:99.68



epochs: 40, err_dist: x:3.01, y:0.99, bias corrected: x:2.76, y:0.90
tolerance: 1, acc_box: x:26.95, y:80.19, x_corr:33.12, y_corr:80.52
tolerance: 2, acc_box: x:41.23, y:92.21, x_corr:47.08, y_corr:92.21
tolerance: 3, acc_box: x:48.38, y:94.16, x_corr:52.92, y_corr:92.21
tolerance: 4, acc_box: x:58.12, y:95.13, x_corr:63.31, y_corr:95.13
tolerance: 5, acc_box: x:80.19, y:96.43, x_corr:77.92, y_corr:96.75
tolerance: 6, acc_box: x:93.18, y:97.08, x_corr:95.45, y_corr:97.40



